ID,iManufacturer,iMPartNumber,iSerialNumber,iSimCategory,iPartType,iDescription,iGroup,iLocation,iSold
297,"Singer Link","2010861-02",1110,"Linkage","PCB",,4,"Box1",0
298,"Singer Link","2010861-02",1204,"Linkage","PCB",,4,"Box1",0
299,"Singer Link","2062442-01",604,"Linkage","PCB",,4,"Box1",0
300,"Singer Link","2062442-01",603,"Linkage","PCB",,4,"Box1",0
301,"Singer Link","2062442-01",602,"Linkage","PCB",,4,"Box1",0
302,"Singer Link","2070213-01","No SN","Linkage","PCB",,4,"Box1",0
303,"Singer Link","2010859-02",1125,"Linkage","PCB",,4,"Box1",0
304,"Singer Link","2010859-02",1129,"Linkage","PCB",,4,"Box1",0
305,"Singer Link","2123081-001",404,"Linkage","PCB",,4,"Box1",0
306,"Singer Link","2123081-001",396,"Linkage","PCB",,4,"Box1",0
307,"Singer Link","2123081-001",397,"Linkage","PCB",,4,"Box1",0
308,"Singer Link","2070218-01",539,"Linkage","PCB",,4,"Box1",0
309,"Singer Link","2070218-01",531,"Linkage","PCB",,4,"Box1",0
310,"Singer Link","2070218-01",510,"Linkage","PCB",,4,"Box1",0
311,"Singer Link","2123081-001",412,"Linkage","PCB",,4,"Box2",0
312,"Singer Link","2087685-02",1000,"Linkage","PCB",,4,"Box2",0
313,"Singer Link","2010975-03","No SN","Linkage","PCB",,4,"Box2",0
314,"Singer Link","3099328-001",30,"Linkage","PCB",,4,"Box2",0
315,"Singer Link","3099328-001",10,"Linkage","PCB",,4,"Box2",0
316,"Singer Link","3099328-001",43,"Linkage","PCB",,4,"Box2",0
317,"Singer Link","2070218-01",527,"Linkage","PCB",,4,"Box2",0
318,"Singer Link","2070216-01",252,"Linkage","PCB",,4,"Box2",0
319,"Singer Link","2070218-01",536,"Linkage","PCB",,4,"Box2",0
320,"Singer Link","2070219-01",175,"Linkage","PCB",,4,"Box2",0
321,"Singer Link","2123081-001",407,"Linkage","PCB",,4,"Box2",0
322,"Singer Link","2123081-001",402,"Linkage","PCB",,4,"Box3",0
323,"Singer Link","2090599-01","No SN","Linkage","PCB",,4,"Box3",0
324,"Singer Link","2131563-001",3,"Linkage","PCB",,4,"Box3",0
325,"Singer Link","2080723-01",,"Linkage","PCB",,4,"Box3",0
326,"Singer Link","2123081-001",393,"Linkage","PCB",,4,"Box3",0
327,"Singer Link","2123081-001",403,"Linkage","PCB",,4,"Box3",0
328,"Singer Link","2128702-006",1000,"Linkage","PCB",,4,"Box3",0
329,"Singer Link","2128702-005","0003P","Linkage","PCB",,4,"Box3",0
330,"Singer Link","2128702-004","C0003","Linkage","PCB",,4,"Box3",0
331,"Singer Link","2123081-001",394,"Linkage","PCB",,4,"Box3",0
332,"Singer Link","2123081-001",398,"Linkage","PCB",,4,"Box3",0
333,"Singer Link","2070213-01","No SN","Linkage","PCB",,4,"Box3",0
334,"Singer Link","2010975-03",448,"Linkage","PCB",,4,"Box3",0
335,"Singer Link","2123081-001",415,"Linkage","PCB",,4,"Box4",0
336,"Singer Link","2123081-001",416,"Linkage","PCB",,4,"Box4",0
337,"Singer Link","2123081-001",405,"Linkage","PCB",,4,"Box4",0
338,"Singer Link","2123081-001",395,"Linkage","PCB",,4,"Box4",0
339,"Singer Link","2123081-001",401,"Linkage","PCB",,4,"Box4",0
340,"Singer Link","2010860-02",204,"Linkage","PCB",,4,"Box4",0
341,"Singer Link","2010861-02",1113,"Linkage","PCB",,4,"Box4",0
342,"Singer Link","2010975-03",423,"Linkage","PCB",,4,"Box4",0
343,"Singer Link","3099328-001",41,"Linkage","PCB",,4,"Box4",0
344,"Singer Link","3099328-001",40,"Linkage","PCB",,4,"Box4",0
345,"Singer Link","3099328-001",34,"Linkage","PCB",,4,"Box4",0
346,"Singer Link","3099328-001",6,"Linkage","PCB",,4,"Box4",0
347,"Singer Link","3099328-001",42,"Linkage","PCB",,4,"Box5",0
348,"Singer Link","3099328-001",66,"Linkage","PCB",,4,"Box5",0
349,"Singer Link","3099328-001",26,"Linkage","PCB",,4,"Box5",0
350,"Singer Link","2070216-01",253,"Linkage","PCB",,4,"Box5",0
351,"Singer Link","2070218-01",525,"Linkage","PCB",,4,"Box5",0
352,"Singer Link","2123081-01",413,"Linkage","PCB",,4,"Box5",0
353,"Singer Link","2070219-01",171,"Linkage","PCB",,4,"Box5",0
354,"Singer Link","2070219-01",176,"Linkage","PCB",,4,"Box5",0
355,"Singer Link","2123081-001",409,"Linkage","PCB",,4,"Box5",0
356,"Singer Link","2090599-01","0042P","Linkage","PCB",,4,"Box5",0
357,"Singer Link","2010975-03",420,"Linkage","PCB",,4,"Box5",0
358,"Singer Link","2010975-03",419,"Linkage","PCB",,4,"Box5",0
359,"Singer Link","7464834-10",36,"Linkage","PCB",,4,"Box6",0
360,"Singer Link","7464834-10",35,"Linkage","PCB",,4,"Box6",0
361,"Singer Link","7464834-10",32,"Linkage","PCB",,4,"Box6",0
362,"Singer Link","7464834-10","No SN","Linkage","PCB",,4,"Box6",0
363,"Singer Link","2070218-01",566,"Linkage","PCB",,4,"Box6",0
364,"Singer Link","2070216-01",106,"Linkage","PCB",,4,"Box6",0
365,"Singer Link","2070219-01",177,"Linkage","PCB",,4,"Box6",0
366,"Singer Link","2070218-01",534,"Linkage","PCB",,4,"Box6",0
367,"Singer Link","2062442-01",601,"Linkage","PCB",,4,"Box6",0
368,"Singer Link","2010861-02",1064,"Linkage","PCB",,4,"Box6",0
369,"Singer Link","2010861-02",1107,"Linkage","PCB",,4,"Box6",0
370,"Singer Link","7464814-30",180,"Linkage","PCB",,4,"Box6",0
371,"Singer Link","2070217-01","No SN","Linkage","PCB",,4,"Box6",0
372,"Singer Link","2010861-02",1108,"Linkage","PCB",,4,"Box7",0
373,"Singer Link","2010861-02",1109,"Linkage","PCB",,4,"Box7",0
374,"Singer Link","2010975-03",424,"Linkage","PCB",,4,"Box7",0
375,"Singer Link","2010859-02",1120,"Linkage","PCB",,4,"Box7",0
376,"Singer Link","2010859-02",1127,"Linkage","PCB",,4,"Box7",0
377,"Singer Link","2070219-01",172,"Linkage","PCB",,4,"Box7",0
378,"Singer Link","2070218-01",538,"Linkage","PCB",,4,"Box7",0
379,"Singer Link","2123081-001",411,"Linkage","PCB",,4,"Box7",0
380,"Singer Link","2123081-001",410,"Linkage","PCB",,4,"Box7",0
381,"Singer Link","2070215-01",126,"Linkage","PCB",,4,"Box7",0
382,"Singer Link","2070219-01",182,"Linkage","PCB",,4,"Box7",0
383,"Singer Link","2070215-01",168,"Linkage","PCB",,4,"Box7",0
384,"Singer Link","2010859-02",1124,"Linkage","PCB",,4,"Box7",0
385,"Singer Link","2010218-01",537,"Linkage","PCB",,4,"Box 8",0
386,"Singer Link","2010975-03",161,"Linkage","PCB",,4,"Box 8",0
387,"Singer Link","2070213-01",219,"Linkage","PCB",,4,"Box 8",0
388,"Singer Link","2070245-01/2145549-001",11,"Linkage","PCB","Lighting/Power Distribution Cards",4,"Box 9",0
389,"Singer Link","2070245-01/2145549-001",22,"Linkage","PCB","Lighting/Power Distribution Cards",4,"Box 9",
